Sample_Number,Collection_Date,ID_yyyymmdd,Tox_ug_100g
NA,01/24/2022,20220124,NA
NA,02/08/2022,20220208,NA
NA,03/17/2022,20220317,NA
NA,04/08/2022,20220408,NA
NA,04/20/2022,20220420,NA
1,05/04/2022,20220504,37.02964
2,05/10/2022,20220510,49.20809
3,05/17/2022,20220517,44.01682
4,05/24/2022,20220524,47.99539
5,05/31/2022,20220531,37.70355
6,06/07/2022,20220607,45.36181
7,06/14/2022,20220614,31.06361
8,06/21/2022,20220621,37.24828
9,06/28/2022,20220628,21.35536
10,07/05/2022,20220705,25.51271
11,7/12/2022,20220712,23.91929
12,7/19/2022,20220719,14.81753
13,7/26/2022,20220726,6.852459
14,8/2/2022,20220802,14.76527
15,8/9/2022,20220809,13.36313
16,8/18/2022,20220818,17.36083
17,8/22/2022,20220822,24.81877
18,8/30/2022,20220830,27.30637
19,9/6/2022,20220906,27.94523
20,9/12/2022,20220912,18.58843
21,9/19/2022,20220919,28.30058
22,9/27/2022,20220927,39.19715
23,10/3/2022,20221003,33.07567
24,12/5/2022,20221205,39.48404
25,1/18/2023,20230118,38.21077
26,2/10/2023,20230210,38.87895
27,3/30/2023,20230330,35.41346
28,5/4/2023,20230504,42.38299
29,5/9/2023,20230509,39.00109
30,5/15/2023,20230515,37.98694
31,5/23/2023,20230523,38.02238
32,6/6/2023,20230606,104.44997
33,6/8/2023,20230608,212.82431
34,6/13/2023,20230613,248.23553
35,6/20/2023,20230620,172.55028
36,6/26/2023,20230626,104.3888
37,7/5/2023,20230705,97.36943
38,7/11/2023,20230711,74.48922
39,7/18/2023,20230718,95.34584